tz,ty,diff,city
Asia/Bishkek,Canonical,+06:00,Bishkek
Asia/Brunei,Canonical,+08:00,Brunei
Asia/Chita,Canonical,+09:00,Chita
Asia/Choibalsan,Canonical,+08:00,Choibalsan
Asia/Colombo,Canonical,+05:30,Colombo
Asia/Damascus,Canonical,+02:00,Damascus
Asia/Dhaka,Canonical,+06:00,Dhaka
Asia/Dili,Canonical,+09:00,Dili
Asia/Dubai,Canonical,+04:00,Dubai
Asia/Dushanbe,Canonical,+05:00,Dushanbe
Asia/Famagusta,Canonical,+02:00,Famagusta
Asia/Gaza,Canonical,+02:00,Gaza
Asia/Hebron,Canonical,+02:00,Hebron
Asia/Ho_Chi_Minh,Canonical,+07:00,Ho Chi Minh
Asia/Hong_Kong,Canonical,+08:00,Hong Kong
Asia/Hovd,Canonical,+07:00,Hovd
Asia/Irkutsk,Canonical,+08:00,Irkutsk
Asia/Istanbul,Alias,+03:00,Istanbul
Asia/Jakarta,Canonical,+07:00,Jakarta
Asia/Jayapura,Canonical,+09:00,Jayapura
Asia/Jerusalem,Canonical,+02:00,Jerusalem
Asia/Kabul,Canonical,+04:30,Kabul
Asia/Kamchatka,Canonical,+12:00,Kamchatka
Asia/Karachi,Canonical,+05:00,Karachi
Asia/Kathmandu,Canonical,+05:45,Kathmandu
Asia/Khandyga,Canonical,+09:00,Khandyga
Asia/Kolkata,Canonical,+05:30,Kolkata
Asia/Krasnoyarsk,Canonical,+07:00,Krasnoyarsk
Asia/Kuala_Lumpur,Canonical,+08:00,Kuala Lumpur
Asia/Kuching,Canonical,+08:00,Kuching
Asia/Kuwait,Alias,+03:00,Kuwait
Asia/Macau,Canonical,+08:00,Macau
Asia/Magadan,Canonical,+11:00,Magadan
Asia/Makassar,Canonical,+08:00,Makassar
Asia/Manila,Canonical,+08:00,Manila
Asia/Muscat,Alias,+04:00,Muscat
Asia/Nicosia,Canonical,+02:00,Nicosia
Asia/Novokuznetsk,Canonical,+07:00,Novokuznetsk
Asia/Novosibirsk,Canonical,+07:00,Novosibirsk
Asia/Omsk,Canonical,+06:00,Omsk
Asia/Oral,Canonical,+05:00,Oral
Asia/Phnom_Penh,Alias,+07:00,Phnom Penh
Asia/Pontianak,Canonical,+07:00,Pontianak
Asia/Pyongyang,Canonical,+09:00,Pyongyang
Asia/Qatar,Canonical,+03:00,Qatar
Asia/Qostanay,Canonical,+06:00,Qostanay
Asia/Qyzylorda,Canonical,+05:00,Qyzylorda
Asia/Riyadh,Canonical,+03:00,Riyadh
Asia/Sakhalin,Canonical,+11:00,Sakhalin
